fips5,state,county,population_2023,poverty_pop_23,poverty_rate_23,unemployment_rate_2023,snap_recipients_est_2022,primary_care_physicians_per_100k_2023,hospital_beds_2023
01001,AL,Autauga,60342.0,6275.0,10.4,2.2,8029.0,21.0,71.0
01003,AL,Baldwin,253507.0,24819.0,9.79,2.3,20790.0,151.0,480.0
01005,AL,Barbour,24585.0,4746.0,19.3,4.4,6082.0,6.0,47.0
01007,AL,Bibb,21868.0,4258.0,19.47,2.5,3434.0,23.0,166.0
01009,AL,Blount,59816.0,8269.0,13.82,2.1,6483.0,10.0,25.0
01011,AL,Bullock,9897.0,2344.0,23.68,2.4,2738.0,2.0,54.0
01013,AL,Butler,18382.0,3881.0,21.11,2.9,5062.0,5.0,61.0
01015,AL,Calhoun,116429.0,19558.0,16.8,2.8,20707.0,54.0,303.0
01017,AL,Chambers,34079.0,5214.0,15.3,2.4,6956.0,11.0,0.0
01019,AL,Cherokee,25666.0,3606.0,14.05,2.4,3628.0,8.0,45.0
01021,AL,Chilton,46431.0,6111.0,13.16,2.2,7672.0,11.0,26.0
01023,AL,Choctaw,12252.0,2413.0,19.69,4.0,3199.0,6.0,25.0
01025,AL,Clarke,22337.0,4607.0,20.62,5.0,5832.0,9.0,46.0
01027,AL,Clay,14111.0,2295.0,16.26,2.4,1832.0,4.0,129.0
01029,AL,Cleburne,15639.0,1984.0,12.69,2.3,2779.0,3.0,0.0
01031,AL,Coffee,55643.0,9409.0,16.91,2.5,7968.0,21.0,99.0
01033,AL,Colbert,58361.0,9626.0,16.49,2.9,7707.0,30.0,284.0
01035,AL,Conecuh,11174.0,3125.0,27.97,3.5,2943.0,5.0,44.0
01037,AL,Coosa,10268.0,1161.0,11.31,2.6,1970.0,0.0,0.0
01039,AL,Covington,37952.0,6681.0,17.6,2.7,7604.0,17.0,137.0
01041,AL,Crenshaw,13101.0,2081.0,15.88,2.7,3141.0,2.0,65.0
01043,AL,Cullman,92016.0,12299.0,13.37,2.0,9208.0,36.0,145.0
01045,AL,Dale,49871.0,9078.0,18.2,2.5,9811.0,9.0,69.0
01047,AL,Dallas,36165.0,10748.0,29.72,5.4,13915.0,40.0,149.0
01049,AL,DeKalb,72569.0,14405.0,19.85,2.3,13831.0,28.0,115.0
01051,AL,Elmore,90441.0,8652.0,9.57,2.1,9906.0,16.0,96.0
01053,AL,Escambia,36558.0,7238.0,19.8,3.1,8173.0,7.0,82.0
01055,AL,Etowah,103241.0,17401.0,16.85,2.8,17014.0,75.0,461.0
01057,AL,Fayette,15967.0,2967.0,18.58,2.9,3383.0,6.0,167.0
01059,AL,Franklin,31802.0,5476.0,17.22,2.6,5202.0,10.0,114.0
01061,AL,Geneva,26988.0,5035.0,18.66,2.4,5017.0,8.0,147.0
01063,AL,Greene,7341.0,2697.0,36.74,4.8,2498.0,3.0,92.0
01065,AL,Hale,14888.0,3454.0,23.2,3.3,3959.0,3.0,20.0
01067,AL,Henry,17899.0,2695.0,15.06,2.6,2983.0,4.0,0.0
01069,AL,Houston,108462.0,19198.0,17.7,2.6,21100.0,99.0,590.0
01071,AL,Jackson,53467.0,8758.0,16.38,2.5,7372.0,27.0,92.0
01073,AL,Jefferson,662895.0,106524.0,16.07,2.5,106140.0,710.0,3714.0
01075,AL,Lamar,13661.0,2061.0,15.09,2.8,2655.0,0.0,0.0
01077,AL,Lauderdale,96814.0,12584.0,13.0,2.5,10877.0,55.0,239.0
01079,AL,Lawrence,33502.0,4506.0,13.45,2.3,5632.0,7.0,43.0
01081,AL,Lee,183215.0,32119.0,17.53,2.3,18529.0,74.0,544.0
01083,AL,Limestone,114654.0,10561.0,9.21,2.1,7217.0,34.0,71.0
01085,AL,Lowndes,9717.0,2913.0,29.98,4.6,3578.0,1.0,0.0
01087,AL,Macon,18370.0,3611.0,19.66,3.2,4400.0,6.0,0.0
01089,AL,Madison,412600.0,40401.0,9.79,2.0,36551.0,343.0,1122.0
01091,AL,Marengo,18684.0,4241.0,22.7,3.3,4922.0,9.0,47.0
01093,AL,Marion,29244.0,4809.0,16.44,2.9,5427.0,13.0,71.0
01095,AL,Marshall,100756.0,15841.0,15.72,2.1,14050.0,50.0,183.0
01097,AL,Mobile,411640.0,65948.0,16.02,3.1,84919.0,277.0,1302.0
01099,AL,Monroe,19229.0,4371.0,22.73,4.3,3869.0,8.0,44.0
01101,AL,Montgomery,224980.0,41981.0,18.66,2.8,53608.0,212.0,1152.0
01103,AL,Morgan,125133.0,16441.0,13.14,2.0,16516.0,60.0,110.0
01105,AL,Perry,7738.0,2296.0,29.67,5.0,3514.0,2.0,0.0
01107,AL,Pickens,18688.0,3878.0,20.75,3.0,3654.0,6.0,0.0
01109,AL,Pike,33137.0,7130.0,21.52,2.7,6572.0,14.0,43.0
01111,AL,Randolph,22786.0,3983.0,17.48,2.4,5075.0,4.0,15.0
01113,AL,Russell,58744.0,12966.0,22.07,2.8,11919.0,10.0,34.0
01115,AL,St. Clair,95552.0,10129.0,10.6,2.1,11561.0,15.0,40.0
01117,AL,Shelby,233000.0,15442.0,6.63,1.8,12405.0,160.0,231.0
